period,exports_usd_millions,imports_usd_millions,balance_usd_millions
January 2026,24461.2,28330.6,-3869.4
February 2026,28417.8,29172.3,-754.4
March 2026,31654.8,34089.3,-2434.5
April 2026,30197.1,35028.1,-4831.0
May 2026,30399.0,36337.2,-5938.2
June 2026,31007.1,37216.8,-6209.7
July 2026,29338.6,33491.1,-4152.5
TOTAL 2026,205475.7,233665.4,-28189.7
January 2025,27246.2,38949.7,-11703.4
February 2025,28406.5,34787.4,-6380.9
March 2025,32433.2,34967.5,-2534.3
April 2025,27407.8,29101.7,-1693.8
May 2025,28275.6,29977.4,-1701.8
June 2025,28847.5,29645.0,-797.5
July 2025,27040.3,32195.9,-5155.6
August 2025,27222.2,29140.4,-1918.1
September 2025,26623.5,31749.0,-5125.5
October 2025,29282.1,31235.5,-1953.4
November 2025,25410.9,28513.7,-3102.8
December 2025,25423.8,31658.9,-6235.1
TOTAL 2025,333619.7,381922.1,-48302.3
January 2024,26702.8,33379.1,-6676.3
February 2024,28634.2,33112.4,-4478.1
March 2024,30888.1,33999.0,-3111.0
April 2024,30849.9,34350.2,-3500.3
May 2024,30559.7,35598.5,-5038.8
June 2024,29848.4,34374.8,-4526.4
July 2024,27838.3,35909.4,-8071.1
August 2024,30123.1,32830.5,-2707.3
September 2024,29381.5,34532.0,-5150.5
October 2024,30344.2,34413.5,-4069.3
November 2024,29113.6,33446.5,-4332.8
December 2024,26321.8,35825.7,-9503.9
TOTAL 2024,350605.6,411771.6,-61166.0
January 2023,27563.4,34893.2,-7329.8
February 2023,27036.1,31574.1,-4538.0
March 2023,32059.0,36431.2,-4372.2
April 2023,29254.5,33927.8,-4673.3
May 2023,30971.8,36540.0,-5568.2
June 2023,31551.1,34880.0,-3328.8
July 2023,28752.6,33038.8,-4286.2
August 2023,31224.3,36242.6,-5018.3
September 2023,29760.8,34898.8,-5138.0
October 2023,29305.1,36340.6,-7035.4
November 2023,28996.3,36179.0,-7182.7
December 2023,27933.2,33060.3,-5127.2
TOTAL 2023,354408.0,418006.2,-63598.2
January 2022,24861.6,31594.6,-6733.0
February 2022,25619.4,31010.7,-5391.3
March 2022,32802.6,40050.1,-7247.6
April 2022,31107.5,38075.2,-6967.7
May 2022,30796.6,40460.9,-9664.3
June 2022,33205.6,41004.0,-7798.4
July 2022,29796.2,37900.3,-8104.1
August 2022,32252.6,38931.7,-6679.1
September 2022,30608.4,35912.5,-5304.0
October 2022,30249.0,34665.8,-4416.7
November 2022,29729.7,33775.6,-4045.9
December 2022,28054.9,34036.3,-5981.4
TOTAL 2022,359084.2,437417.6,-78333.4
January 2021,21591.4,24721.0,-3129.6
February 2021,22375.7,25215.6,-2839.9
March 2021,28282.7,29809.9,-1527.3
April 2021,25339.5,27484.2,-2144.6
May 2021,25599.5,29040.5,-3440.9
June 2021,26849.9,32160.9,-5311.0
July 2021,25903.7,29809.8,-3906.1
August 2021,25909.2,30951.3,-5042.1
September 2021,24754.7,29926.5,-5171.8
October 2021,27483.5,31577.1,-4093.6
November 2021,27775.9,33810.9,-6035.0
December 2021,27738.3,32767.0,-5028.6
TOTAL 2021,309604.0,357274.7,-47670.7
January 2020,22614.4,25286.8,-2672.4
February 2020,23284.1,24339.0,-1055.0
March 2020,23657.3,25080.4,-1423.1
April 2020,14735.2,14937.0,-201.8
May 2020,14841.8,15842.7,-1000.9
June 2020,20165.6,20315.2,-149.5
July 2020,21320.5,22329.7,-1009.3
August 2020,22923.6,23748.9,-825.4
September 2020,23405.8,24595.5,-1189.7
October 2020,23663.9,24853.1,-1189.2
November 2020,22544.2,24064.9,-1520.6
December 2020,23055.9,24632.3,-1576.4
TOTAL 2020,256212.3,270025.5,-13813.3
January 2019,22683.0,23348.3,-665.3
February 2019,23191.3,22814.8,376.5
March 2019,26448.5,27549.2,-1100.7
April 2019,25334.4,26731.6,-1397.2
May 2019,26157.8,29196.4,-3038.6
June 2019,24886.5,27644.3,-2757.8
July 2019,23465.4,26760.5,-3295.1
August 2019,25309.2,26634.2,-1325.0
September 2019,24307.4,26851.5,-2544.2
October 2019,25266.6,28534.1,-3267.5
November 2019,23430.1,25240.1,-1810.0
December 2019,22340.0,27283.7,-4943.7
TOTAL 2019,292820.3,318588.8,-25768.5
January 2018,22640.5,26184.4,-3543.8
February 2018,23675.3,23997.4,-322.1
