year,month,mbd
2022,Jan,0.68
2022,Feb,0.7
2022,Mar,0.725
2022,Apr,0.75
2022,May,0.72
2022,Jun,0.7
2022,Jul,0.62
2022,Aug,0.7
2022,Sep,0.67
2022,Oct,0.72
2022,Nov,0.67
2022,Dec,0.67
2023,Jan,0.72
2023,Feb,0.67
2023,Mar,0.7
2023,Apr,0.74
2023,May,0.76
2023,Jun,0.76
2023,Jul,0.79
2023,Aug,0.76
2023,Sep,0.735
2023,Oct,0.735
2023,Nov,0.75
2023,Dec,0.76
2024,Jan,0.77
2024,Feb,0.805
2024,Mar,0.805
2024,Apr,0.82
2024,May,0.84
2024,Jun,0.83
2024,Jul,0.84
2024,Aug,0.86
2024,Sep,0.87
2024,Oct,0.88
2024,Nov,0.82
2024,Dec,0.86
2025,Jan,0.9
2025,Feb,0.91
2025,Mar,0.92
2025,Apr,0.93
2025,May,0.94
2025,Jun,0.95
2025,Jul,0.95
2025,Aug,0.965
2025,Sep,0.97
2025,Oct,0.975
2025,Nov,0.975
2025,Dec,0.925
2026,Jan,0.8
2026,Feb,0.95
2026,Mar,1.03
2026,Apr,1.07
2026,May,1.13
2026,Jun,1.13
2026,Jul,1.15
